Name PS1imag	e_PS1imag PS1zmag e_PS1zmag PS1ymag e_PS1ymag W1mag e_W1mag W2mag e_W2mag W3mag e_W3mag Jmag e_Jmag r_Jmag E(B-V)
P217-16     23.18  0.29 20.46  0.04 19.87  0.06 18.99  0.08 19.39  0.18 12.00  0.50 19.69  0.07  1 0.09
J1429+5447  23.52  0.31 21.87  0.14 20.88  0.16 19.73  0.08 20.49  0.32 12.66  0.50 20.64  0.07 15 0.02
P217-07     23.79 -1.00 21.10  0.08 20.44  0.08 19.88  0.12 19.81  0.25 12.13  0.50 19.87  0.07  4 0.07
J1436+5007  22.65  0.16 20.03  0.03 20.16  0.06 19.87  0.09 20.30  0.25 12.92  0.50 19.98  0.10  7 0.02
P228+21     23.97 -1.00 20.92  0.06 20.63  0.10 20.57  0.12 20.30  0.21 12.00  0.50 20.89  0.18  1 0.05
P235+17     22.57  0.12 20.23  0.03 20.18  0.07 19.49  0.08 19.85  0.24 12.35  0.32 19.92  0.08  1 0.03
P236+16     23.45  0.24 20.69  0.05 20.82  0.11 20.41  0.13 19.90  0.17 12.00  0.50 20.73  0.12  1 0.03
J1602+4228  22.83  0.13 20.12  0.03 19.85  0.05 18.75  0.04 18.46  0.06 12.37  0.26 19.40  0.05  7 0.01
J1609+3041  23.55  0.27 20.98  0.07 20.43  0.09 20.22  0.14 20.42  0.35 12.46  0.50 20.62  0.15  3 0.03
P242-12     22.69  0.21 19.76  0.04 19.79  0.10 19.00  0.07 19.44  0.23 11.87  0.32 19.59  0.08  1 0.30
J1621+5155  21.89  0.06 20.04  0.04 19.86  0.05 18.35  0.03 18.11  0.04 12.89  0.32 19.46  0.10  2 0.02
J1623+3112  23.27  0.26 20.04  0.04 20.29  0.10 19.22  0.06 19.00  0.10 12.55  0.50 20.09  0.10  7 0.02
J1630+4012  22.92  0.14 20.47  0.04 20.59  0.11 20.19  0.12 20.84  0.45 12.91  0.50 20.32  0.10  6 0.01
P293+71     23.25 -1.00 19.66  0.04 19.88  0.11 20.07  0.08 19.82  0.12 13.59  0.50 19.67  0.05  1 0.17
P308-21     23.58  0.27 21.12  0.08 20.49  0.11 19.20  0.09 18.78  0.13 12.45  0.50 20.17  0.11  1 0.05
P308-27     22.31  0.10 19.71  0.02 19.92  0.08 19.63  0.12 19.37  0.22 11.89  0.50 19.46  0.06  1 0.05
P319-10     23.22  0.20 19.94  0.02 20.02  0.06 18.84  0.07 18.58  0.11 11.89  0.50 20.02  0.05  1 0.05
P320-24     23.01  0.21 20.17  0.04 20.46  0.15 19.85  0.15 19.82  0.34 11.66  0.50 20.26  0.10  1 0.04
J2147+0107  23.73 -1.00 21.39  0.09 21.34 -1.00 20.33  0.20 20.31  0.45 12.30  0.50 21.73  0.14 11 0.12
P333+26     23.53 -1.00 20.91  0.09 20.33  0.10 20.88  0.20 20.13  0.21 12.00  0.50 20.44  0.05  1 0.11
J2220-0101  21.74  0.07 20.36  0.05 20.66  0.12 19.84  0.09 19.56  0.14 12.00  0.50 20.42  0.19 18 0.07
P338+29     23.29 -1.00 22.50 -1.00 20.23  0.10 20.51  0.21 20.14  0.50 12.04  0.50 20.74  0.09 27 0.10
P340-18     23.34  0.29 20.14  0.03 20.35  0.10 19.26  0.09 18.87  0.13 12.33  0.50 20.28  0.08 20 0.03
J2307+0031  23.89 -1.00 21.71  0.12 21.67  0.25 19.78  0.13 19.61  0.25 11.80  0.50 21.37  0.11 11 0.05
J2310+1855  21.53  0.08 19.50  0.03 18.97  0.03 18.50  0.05 18.75  0.12 12.27  0.44 18.88  0.05  2 0.17
J2315-0023  23.71 -1.00 20.97  0.06 21.14  0.16 20.26  0.20 19.93  0.50 12.18  0.50 20.88  0.08 10 0.04
J2325+2628  21.94  0.09 19.61  0.02 19.42  0.04 18.89  0.06 18.75  0.10 12.59  0.51 18.91  0.03  1 0.10
P359-06     23.02  0.21 19.97  0.03 20.03  0.06 19.26  0.10 19.04  0.19 11.90  0.50 19.85  0.10  1 0.03
J129+39     24.00  1.38 23.47  0.48 20.28  0.08 18.34  0.09 18.96  0.12 12.25  0.50 19.45  0.20  0 0.01
J127+41     25.51  1.20 23.50  1.00 20.65  0.11 18.96  0.14 19.49  0.19 12.46  0.50 19.34  0.15  0 0.01
J166+21     24.04  0.60 23.90  0.77 19.96  0.06 19.01  0.16 19.51  0.21 12.65  0.50 19.01  0.12  0 0.01
J129+49     24.63  1.12 26.32  7.62 19.91  0.06 18.78  0.11 19.14  0.12 12.58  0.50 19.27  0.17  0 0.01
J137-04     24.29  0.56 24.73  1.99 20.79  0.13 18.49  0.10 19.20  0.15 12.31  0.50 18.93  0.13  0 0.01
J140+04     24.00  1.21 24.23  0.95 20.25  0.08 18.06  0.07 19.20  0.16 11.96  0.50 19.08  0.09  0 0.01
J106+29     24.62  1.12 21.48  0.13 19.24  0.03 17.63  0.06 18.53  0.09 12.43  0.48 18.22  0.05  0 0.01
J173+50     25.92  1.92 23.34  0.43 20.16  0.07 18.98  0.13 19.88  0.23 12.27  0.50 19.47  0.16  0 0.01
J247+24     25.38  1.20 22.81  0.34 20.05  0.06 18.49  0.08 19.41  0.14 12.28  0.40 19.40  0.17  0 0.01
J233+19     24.00  1.74 22.37  0.17 20.41  0.06 17.62  0.05 18.62  0.08 12.58  0.35 18.70  0.11  0 0.01
J199+10     27.33  7.22 22.42  0.18 20.69  0.10 18.45  0.09 18.94  0.12 12.71  0.52 19.81  0.12  0 0.01
J162-01     24.25  0.84 23.52  0.53 21.01  0.14 19.04  0.17 20.35  0.47 12.52  0.50 20.06  0.12  0 0.01
J323+12     26.26  4.36 21.58  0.09 19.27  0.02 18.06  0.07 18.97  0.12 12.31  0.50 18.71  0.11  0 0.01
J158-14     22.37  0.23 19.66  0.02 19.35  0.03 17.56  0.05 18.48  0.08 11.42  0.18 18.27  0.06  0 0.01
J183+05     24.16  0.60 21.68  0.09 20.00  0.06 18.67  0.13 19.80  0.33 12.50  0.50 18.88  0.08  0 0.01
J231-20     27.15  9.51 24.70  1.95 20.11  0.07 18.91  0.15 19.96  0.35 12.23  0.50 18.72  0.12  0 0.01
J323+12     26.26  4.36 21.58  0.09 19.27  0.02 18.06  0.07 18.97  0.12 12.31  0.50 18.71  0.11  0 0.01
J1041+2008  24.02  0.43 21.07  0.08 20.67  0.10 18.81  0.13 19.86  0.28 12.50  0.50 19.42  0.18  0 0.01
