ra,dec,W1mag,W2mag,W3mag,PS1zmag,PS1ymag,Jmag
156.42548474696565,-8.6070486125642,17.413,16.362,12.545,22.3493003845215,20.7849006652832,18.7975
146.61056603882335,-4.919069089335895,16.89,16.36,12.561,22.5622997283936,20.7119007110596,18.988
146.93925591330583,-3.1652474192208206,17.518,16.439,12.422,22.7336006164551,21.2138004302979,19.8145
141.43263767646516,-4.874354360127654,15.905,15.153,12.533,23.1802005767822,21.1833992004395,19.2821
141.2324205759804,-3.187239588172335,17.142,16.674,11.891,22.952299118042,21.2457008361816,19.7064
147.99642561631697,-3.1144528846935864,17.665,17.192,12.56,23.7411994934082,21.2080993652344,20.5732
148.76872870199702,-2.301165832405637,16.353,16.037,12.326,23.5221004486084,20.9244995117188,18.9938
145.6690486333968,-8.877362564838908,16.675,15.973,12.456,23.8292999267578,22.31369972229,17.6188
140.5817427610779,-8.811076654870352,17.32,16.825,12.656,23.0223999023438,20.9556007385254,19.9434
144.43670232727416,-7.523369831538644,16.805,15.687,12.311,24.982400894165,20.9706993103027,18.4797
227.37903945844792,-3.583631868137051,17.216,16.454,12.742,24.0100002288818,21.4321002960205,20.4024
227.39793931346054,-4.252016557434988,17.599,16.5,12.727,22.6175994873047,21.1025009155273,19.3852
137.5169082897602,-3.0228821266443737,16.969,16.175,12.315,24.021900177002,21.0375995635986,19.7685
137.2224228558931,-2.803778982126619,17.692,16.943,12.825,26.2205009460449,24.7178993225098,20.4284
137.7272184794446,-4.235208832649355,16.793,15.86,12.314,24.7154006958008,20.7824993133545,19.3128
133.85914688025426,-4.799598946114247,17.174,16.214,12.538,23.2196006774902,21.0856990814209,18.7214
135.70108604880622,-0.7491166373582232,17.542,16.798,12.302,22.1949996948242,20.6408004760742,19.2085
130.1729519530506,-4.933440576250976,17.538,16.912,12.602,22.157600402832,20.4790000915527,18.6093
130.124809211753,-3.2292163016213125,16.55,15.112,12.297,21.8232002258301,19.9370994567871,17.0624
131.04911668594266,-2.964560831619985,17.6,16.729,12.406,23.8208999633789,21.5077991485596,19.7472
132.51915224550385,-4.270364734595839,17.318,16.775,12.376,23.0949001312256,21.2807998657227,18.8239
137.26306846404233,-8.926329475907375,17.748,16.744,12.132,26.421199798584,23.4803009033203,18.6292
133.07637695823755,-8.86852721347917,17.578,16.863,12.157,24.1308994293213,21.7057991027832,20.3323
133.20759788351845,-6.911737586606605,16.117,15.163,12.333,21.8605003356934,19.9958000183105,17.6633
134.24669394768782,-5.775780525203453,16.877,16.298,12.664,23.7693996429443,21.471700668335,19.1574
136.50055490101263,-5.583509422584163,17.616,17.273,12.551,23.2045001983643,21.1930999755859,19.3252
177.71140068863497,15.24780104032893,17.587,16.692,12.052,22.8173999786377,21.1802997589111,19.794
177.3131799077674,15.545384260923482,17.396,16.867,12.576,23.5897006988525,21.326000213623,19.375
199.2762182982579,23.52663529736267,16.598,16.079,12.246,23.5452995300293,20.7642002105713,19.326
193.66454203298585,22.917233262400977,16.352,16.007,12.247,22.6194000244141,21.0837993621826,18.826
192.9954273978446,24.89465773337017,16.378,16.021,12.24,24.8955993652344,21.3575000762939,19.05
175.54422869518717,13.388467757610721,16.436,15.453,12.397,21.7129001617432,20.1257991790771,17.664
176.07852628301367,12.978526869672832,17.289,16.544,12.371,22.9209003448486,21.2362003326416,19.438
178.7128051919297,14.105200308341114,17.101,16.617,12.596,23.1291999816895,21.4754009246826,20.069
179.53387294299353,14.303762728750366,16.627,16.194,12.369,22.781099319458,21.0631999969482,19.423
187.796112976068,10.90598715228399,17.58,16.745,12.573,22.9192008972168,21.1853008270264,19.125
188.82806098556298,11.540119997176724,17.494,17.157,11.083,23.4204998016357,21.4204998016357,19.481
182.88023400730302,14.812880858265116,15.841,15.189,12.607,22.5088996887207,20.8612003326416,18.998
188.96593962304047,14.69194520135021,16.728,16.226,12.308,25.7863998413086,20.917200088501,18.829
199.0339359597457,10.475767594119677,16.751,15.604,12.716,22.4195003509521,20.6951999664307,19.941
199.12823649609908,10.559683584397316,17.646,16.467,12.725,22.5708999633789,20.8370990753174,18.226
197.74543842881712,10.528734216834472,17.615,16.14,12.521,23.9540996551514,21.0429000854492,18.273
197.10785512577192,10.857365060188775,17.536,16.977,12.642,23.983699798584,20.9270992279053,19.315
195.88995756910586,11.282240609056766,16.877,16.361,12.17,22.1485004425049,20.4974002838135,18.269
197.25617095477432,13.039429069651808,15.995,15.156,12.403,22.3738994598389,20.7926998138428,18.418
191.05403053427528,12.533702105138955,17.21,16.651,12.723,21.9689998626709,20.4309005737305,17.642
193.6931694484861,12.37106337735588,17.413,16.2,11.918,22.6989994049072,20.7908000946045,18.295
192.1411965317784,14.642508670529965,17.605,16.627,12.715,22.199499130249,20.2103996276855,18.528
209.45383512882572,13.076941393235225,17.809,16.49,12.738,22.9365005493164,20.8208999633789,18.674
